z,dz,e,ei,u
10.000,-0.058,-4.942,-0.200,0.000
9.999,-0.156,-4.843,-0.200,0.000
9.998,-0.254,-4.744,-0.200,0.000
9.995,-0.352,-4.643,-0.200,0.000
9.992,-0.450,-4.542,-0.200,0.000
9.987,-0.548,-4.439,-0.200,0.000
9.982,-0.646,-4.335,-0.200,0.000
9.975,-0.744,-4.231,-0.200,0.000
9.968,-0.843,-4.125,-0.200,0.000
9.959,-0.941,-4.019,-0.200,0.000
9.950,-1.039,-3.911,-0.200,0.000
9.940,-1.137,-3.803,-0.200,0.000
9.928,-1.235,-3.694,-0.200,0.000
9.916,-1.333,-3.583,-0.200,0.000
9.903,-1.431,-3.472,-0.200,0.000
9.888,-1.529,-3.359,-0.200,0.000
9.873,-1.627,-3.246,-0.200,0.000
9.857,-1.725,-3.132,-0.200,0.000
9.840,-1.823,-3.016,-0.200,0.000
9.821,-1.921,-2.900,-0.200,0.000
9.802,-2.019,-2.783,-0.200,0.000
9.782,-2.117,-2.665,-0.200,0.000
9.761,-2.215,-2.545,-0.200,0.000
9.739,-2.314,-2.425,-0.200,0.000
9.715,-2.412,-2.304,-0.200,0.000
9.691,-2.510,-2.182,-0.200,0.000
9.666,-2.608,-2.059,-0.200,0.000
9.640,-2.706,-1.934,-0.200,0.000
9.613,-2.804,-1.809,-0.200,0.000
9.585,-2.902,-1.683,-0.200,0.000
9.556,-3.000,-1.556,-0.200,0.000
9.526,-3.098,-1.428,-0.200,0.000
9.495,-3.196,-1.299,-0.200,0.000
9.463,-3.294,-1.169,-0.200,0.000
9.430,-3.392,-1.038,-0.200,0.000
9.396,-3.490,-0.906,-0.200,0.000
9.361,-3.588,-0.773,-0.200,0.000
9.325,-3.686,-0.639,-0.200,0.000
9.289,-3.785,-0.504,-0.200,0.000
9.251,-3.883,-0.368,-0.200,0.000
9.212,-3.981,-0.231,-0.200,0.000
9.172,-4.079,-0.093,-0.200,0.000
9.131,-4.177,0.045,-0.155,0.000
9.090,-4.275,0.185,0.031,0.129
9.047,-4.367,0.320,0.200,0.664
9.003,-4.307,0.304,0.200,0.661
8.960,-4.249,0.289,0.200,0.658
8.918,-4.193,0.275,0.200,0.655
8.876,-4.137,0.262,0.200,0.652
8.834,-4.083,0.249,0.200,0.650
8.793,-4.030,0.237,0.200,0.647
8.753,-3.978,0.225,0.200,0.645
8.713,-3.928,0.214,0.200,0.643
8.674,-3.878,0.204,0.200,0.641
8.635,-3.829,0.194,0.200,0.639
8.597,-3.781,0.184,0.200,0.637
8.559,-3.734,0.175,0.200,0.635
8.522,-3.688,0.166,0.200,0.633
8.485,-3.643,0.158,0.200,0.632
8.449,-3.598,0.150,0.200,0.630
8.413,-3.554,0.142,0.200,0.628
8.377,-3.511,0.134,0.200,0.627
8.342,-3.469,0.127,0.200,0.625
8.307,-3.427,0.120,0.200,0.624
8.273,-3.386,0.113,0.200,0.623
8.239,-3.345,0.106,0.200,0.621
8.206,-3.305,0.100,0.200,0.620
8.173,-3.266,0.093,0.200,0.619
8.140,-3.227,0.087,0.200,0.617
8.108,-3.189,0.081,0.200,0.616
8.076,-3.151,0.075,0.200,0.615
8.044,-3.114,0.070,0.200,0.614
8.013,-3.077,0.064,0.200,0.613
7.982,-3.041,0.059,0.200,0.612
7.952,-3.005,0.053,0.200,0.611
7.922,-2.970,0.048,0.200,0.610
7.892,-2.935,0.043,0.200,0.609
7.863,-2.901,0.038,0.200,0.608
7.834,-2.867,0.033,0.200,0.607
7.805,-2.833,0.028,0.200,0.606
7.777,-2.800,0.023,0.200,0.605
7.749,-2.768,0.019,0.200,0.604
7.721,-2.735,0.014,0.200,0.603
7.694,-2.703,0.010,0.200,0.602
7.667,-2.672,0.005,0.200,0.601
7.640,-2.641,0.001,0.200,0.600
7.614,-2.610,-0.004,0.196,0.589
7.587,-2.584,-0.003,0.193,0.579
7.562,-2.562,0.001,0.194,0.582
7.536,-2.539,0.003,0.197,0.593
7.511,-2.512,0.001,0.199,0.596
7.486,-2.483,-0.003,0.196,0.587
7.461,-2.458,-0.003,0.193,0.578
7.436,-2.436,0.000,0.193,0.579
7.412,-2.414,0.003,0.196,0.587
7.388,-2.389,0.001,0.197,0.592
