z,dz,e,ei,u
2.000,-0.270,3.270,0.200,1.000
1.997,-0.010,3.013,0.200,1.000
1.997,0.249,2.754,0.200,1.000
2.000,0.509,2.492,0.200,1.000
2.005,0.768,2.227,0.200,1.000
2.012,1.028,1.960,0.200,0.992
2.023,1.282,1.696,0.200,0.939
2.036,1.499,1.466,0.200,0.893
2.051,1.686,1.263,0.200,0.853
2.067,1.848,1.085,0.200,0.817
2.086,1.989,0.926,0.200,0.785
2.106,2.111,0.783,0.200,0.757
2.127,2.218,0.656,0.200,0.731
2.149,2.311,0.540,0.200,0.708
2.172,2.392,0.436,0.200,0.687
2.196,2.463,0.341,0.200,0.668
2.221,2.524,0.255,0.200,0.651
2.246,2.578,0.176,0.200,0.635
2.272,2.624,0.104,0.200,0.621
2.298,2.664,0.038,0.200,0.608
2.325,2.698,-0.022,0.178,0.528
2.352,2.700,-0.051,0.126,0.369
2.379,2.650,-0.029,0.098,0.287
2.405,2.582,0.013,0.111,0.335
2.431,2.524,0.045,0.156,0.478
2.456,2.507,0.037,0.193,0.585
2.481,2.532,-0.013,0.180,0.536
2.507,2.537,-0.043,0.136,0.401
2.532,2.496,-0.028,0.109,0.320
2.557,2.435,0.009,0.117,0.353
2.581,2.381,0.038,0.155,0.472
2.605,2.363,0.032,0.187,0.568
2.629,2.380,-0.009,0.179,0.534
2.652,2.384,-0.036,0.142,0.420
2.676,2.349,-0.025,0.117,0.347
2.700,2.294,0.007,0.124,0.373
2.723,2.245,0.032,0.156,0.474
2.745,2.228,0.027,0.183,0.555
2.767,2.240,-0.007,0.176,0.527
2.790,2.241,-0.031,0.146,0.431
2.812,2.209,-0.021,0.124,0.369
2.834,2.160,0.006,0.130,0.393
2.856,2.117,0.027,0.158,0.479
2.877,2.101,0.022,0.180,0.545
2.898,2.109,-0.007,0.173,0.518
2.919,2.107,-0.026,0.147,0.436
2.940,2.077,-0.017,0.130,0.387
2.961,2.032,0.007,0.137,0.411
2.981,1.995,0.024,0.161,0.486
3.001,1.981,0.017,0.178,0.537
3.021,1.986,-0.008,0.170,0.509
3.041,1.981,-0.022,0.148,0.440
3.061,1.952,-0.013,0.135,0.402
3.080,1.912,0.008,0.142,0.429
3.099,1.880,0.021,0.163,0.494
3.118,1.869,0.013,0.176,0.530
3.137,1.872,-0.008,0.168,0.501
3.156,1.863,-0.019,0.149,0.442
3.174,1.835,-0.009,0.139,0.416
3.193,1.799,0.008,0.148,0.445
3.211,1.772,0.018,0.165,0.500
3.228,1.763,0.009,0.174,0.524
3.246,1.763,-0.009,0.165,0.493
3.264,1.752,-0.016,0.149,0.445
3.281,1.725,-0.006,0.143,0.429
3.298,1.693,0.009,0.153,0.459
3.315,1.670,0.015,0.167,0.505
3.332,1.663,0.005,0.172,0.518
3.349,1.661,-0.009,0.163,0.487
3.365,1.647,-0.013,0.150,0.448
3.382,1.621,-0.003,0.147,0.441
3.398,1.593,0.009,0.157,0.472
3.414,1.574,0.012,0.169,0.508
3.430,1.568,0.002,0.170,0.512
3.445,1.564,-0.009,0.161,0.481
3.461,1.549,-0.010,0.151,0.452
3.476,1.524,-0.000,0.151,0.453
3.492,1.499,0.009,0.160,0.482
3.507,1.484,0.009,0.169,0.509
3.521,1.479,-0.001,0.169,0.506
3.536,1.473,-0.009,0.160,0.478
3.551,1.456,-0.007,0.153,0.457
3.566,1.433,0.002,0.155,0.464
3.580,1.412,0.009,0.163,0.491
3.594,1.400,0.006,0.169,0.509
3.608,1.394,-0.002,0.167,0.500
3.622,1.386,-0.008,0.159,0.476
3.636,1.369,-0.005,0.155,0.463
3.649,1.347,0.003,0.158,0.474
3.663,1.330,0.007,0.165,0.497
3.676,1.320,0.004,0.169,0.508
3.689,1.314,-0.004,0.165,0.496
3.703,1.304,-0.007,0.159,0.476
3.716,1.287,-0.002,0.157,0.469
3.728,1.267,0.004,0.161,0.483
3.741,1.253,0.006,0.167,0.502
3.754,1.245,0.002,0.168,0.506
3.766,1.238,-0.004,0.164,0.492
3.779,1.227,-0.005,0.159,0.477
3.791,1.210,-0.001,0.159,0.476
3.803,1.193,0.004,0.163,0.490
3.815,1.181,0.005,0.168,0.504
3.827,1.173,0.000,0.168,0.503
3.838,1.166,-0.004,0.164,0.490
3.850,1.154,-0.004,0.160,0.479
3.862,1.138,0.001,0.161,0.483
3.873,1.123,0.004,0.165,0.496
3.884,1.113,0.003,0.168,0.505
3.895,1.106,-0.001,0.167,0.501
3.906,1.098,-0.004,0.163,0.489
3.917,1.085,-0.002,0.161,0.483
3.928,1.070,0.002,0.163,0.489
3.939,1.057,0.004,0.167,0.500
3.949,1.049,0.002,0.168,0.505
3.960,1.042,-0.002,0.166,0.498
3.970,1.033,-0.003,0.163,0.489
3.981,1.020,-0.001,0.162,0.487
3.991,1.007,0.002,0.165,0.494
4.001,0.996,0.003,0.168,0.503
4.011,0.989,0.000,0.168,0.504
4.021,0.981,-0.002,0.166,0.497
4.031,0.972,-0.002,0.163,0.490
4.040,0.960,0.000,0.164,0.491
4.050,0.948,0.002,0.166,0.499
4.059,0.939,0.002,0.168,0.505
4.069,0.932,-0.000,0.168,0.503
