z,dz,e,ei,u
3.000,-0.000,2.000,0.200,1.000
3.000,0.564,1.436,0.200,0.887
3.006,0.747,1.247,0.200,0.849
3.013,0.907,1.080,0.200,0.816
3.022,1.047,0.931,0.200,0.786
3.033,1.170,0.797,0.200,0.759
3.044,1.278,0.677,0.200,0.735
3.057,1.374,0.569,0.200,0.714
3.071,1.458,0.471,0.200,0.694
3.085,1.532,0.382,0.200,0.676
3.101,1.598,0.302,0.200,0.660
3.117,1.656,0.228,0.200,0.646
3.133,1.707,0.160,0.200,0.632
3.150,1.751,0.098,0.200,0.620
3.168,1.791,0.042,0.200,0.608
3.186,1.825,-0.011,0.189,0.566
3.204,1.841,-0.045,0.144,0.423
3.222,1.807,-0.030,0.114,0.337
3.241,1.750,0.010,0.124,0.374
3.258,1.702,0.040,0.164,0.501
3.275,1.693,0.032,0.196,0.594
3.292,1.721,-0.013,0.182,0.545
3.309,1.729,-0.039,0.144,0.424
3.326,1.696,-0.022,0.122,0.361
3.343,1.644,0.012,0.134,0.405
3.360,1.605,0.035,0.170,0.516
3.376,1.602,0.022,0.192,0.580
3.392,1.624,-0.016,0.176,0.524
3.408,1.624,-0.033,0.143,0.424
3.424,1.590,-0.015,0.129,0.383
3.440,1.545,0.015,0.144,0.434
3.456,1.514,0.030,0.174,0.528
3.471,1.515,0.014,0.188,0.566
3.486,1.532,-0.018,0.170,0.506
3.501,1.525,-0.027,0.143,0.425
3.517,1.492,-0.008,0.135,0.404
3.532,1.452,0.017,0.152,0.459
3.546,1.429,0.025,0.177,0.535
3.560,1.433,0.006,0.183,0.551
3.575,1.444,-0.018,0.165,0.491
3.589,1.432,-0.021,0.144,0.428
3.603,1.399,-0.002,0.142,0.424
3.617,1.365,0.017,0.159,0.480
3.631,1.350,0.019,0.178,0.538
3.645,1.355,0.000,0.178,0.535
3.658,1.360,-0.018,0.161,0.479
3.672,1.343,-0.015,0.146,0.434
3.685,1.313,0.002,0.148,0.444
3.698,1.285,0.017,0.165,0.497
3.711,1.275,0.014,0.178,0.537
3.724,1.280,-0.004,0.174,0.521
3.737,1.279,-0.016,0.158,0.470
3.749,1.260,-0.010,0.148,0.442
3.762,1.232,0.006,0.154,0.462
3.774,1.211,0.015,0.169,0.509
3.787,1.205,0.008,0.177,0.533
3.799,1.209,-0.007,0.170,0.508
3.811,1.203,-0.014,0.156,0.466
3.823,1.183,-0.005,0.151,0.452
3.835,1.158,0.008,0.159,0.479
3.846,1.141,0.012,0.171,0.517
3.858,1.139,0.004,0.175,0.526
3.869,1.140,-0.009,0.166,0.498
3.880,1.130,-0.010,0.156,0.466
3.892,1.110,-0.001,0.155,0.464
3.903,1.089,0.009,0.163,0.492
3.914,1.077,0.009,0.173,0.520
3.924,1.076,-0.000,0.173,0.518
3.935,1.074,-0.009,0.164,0.490
3.946,1.061,-0.007,0.157,0.468
3.956,1.042,0.002,0.158,0.475
3.967,1.025,0.009,0.167,0.502
3.977,1.017,0.006,0.173,0.520
3.987,1.016,-0.003,0.170,0.510
3.997,1.011,-0.008,0.162,0.485
4.008,0.997,-0.004,0.158,0.473
4.018,0.979,0.004,0.162,0.486
4.027,0.965,0.007,0.169,0.509
4.037,0.960,0.003,0.172,0.518
4.047,0.958,-0.004,0.168,0.503
4.056,0.950,-0.006,0.162,0.484
4.066,0.936,-0.002,0.160,0.480
4.075,0.920,0.005,0.165,0.496
4.084,0.910,0.006,0.171,0.513
4.093,0.906,0.001,0.171,0.514
4.102,0.903,-0.005,0.166,0.498
4.111,0.893,-0.005,0.162,0.484
4.120,0.879,0.001,0.162,0.487
4.129,0.866,0.005,0.167,0.503
4.138,0.858,0.004,0.171,0.514
4.146,0.855,-0.001,0.170,0.509
4.155,0.850,-0.005,0.165,0.495
4.163,0.839,-0.003,0.163,0.487
4.172,0.826,0.002,0.165,0.495
4.180,0.816,0.004,0.169,0.508
4.188,0.810,0.002,0.171,0.514
4.196,0.806,-0.002,0.169,0.506
4.204,0.799,-0.004,0.165,0.494
4.212,0.789,-0.001,0.164,0.492
4.220,0.777,0.003,0.167,0.501
4.228,0.769,0.003,0.170,0.511
4.236,0.764,0.000,0.171,0.512
4.243,0.759,-0.003,0.168,0.503
4.251,0.752,-0.003,0.165,0.495
4.258,0.741,0.000,0.165,0.496
4.266,0.731,0.003,0.168,0.506
4.273,0.725,0.002,0.171,0.512
4.280,0.720,-0.001,0.170,0.509
4.288,0.715,-0.003,0.167,0.501
4.295,0.707,-0.001,0.166,0.497
4.302,0.697,0.001,0.167,0.501
4.309,0.689,0.003,0.170,0.509
4.316,0.683,0.001,0.171,0.512
4.323,0.679,-0.001,0.169,0.507
4.329,0.673,-0.002,0.167,0.500
4.336,0.664,-0.000,0.167,0.500
4.343,0.656,0.002,0.168,0.505
4.349,0.649,0.002,0.170,0.511
4.356,0.644,0.000,0.170,0.511
4.362,0.640,-0.002,0.169,0.506
4.369,0.633,-0.001,0.167,0.501
4.375,0.625,0.000,0.168,0.503
4.381,0.617,0.002,0.169,0.509
4.387,0.612,0.001,0.171,0.512
4.393,0.607,-0.001,0.170,0.510
4.400,0.602,-0.002,0.168,0.505
4.406,0.595,-0.001,0.168,0.503
4.411,0.588,0.001,0.169,0.506
4.417,0.581,0.001,0.170,0.511
4.423,0.576,0.000,0.171,0.512
4.429,0.572,-0.001,0.170,0.509
4.435,0.567,-0.001,0.168,0.505
4.440,0.560,-0.000,0.168,0.505
4.446,0.553,0.001,0.170,0.509
4.451,0.548,0.001,0.171,0.512
4.457,0.543,-0.000,0.170,0.511
4.462,0.539,-0.001,0.169,0.508
4.468,0.533,-0.001,0.169,0.506
4.473,0.527,0.000,0.169,0.508
4.478,0.521,0.001,0.170,0.511
4.484,0.516,0.001,0.171,0.513
4.489,0.512,-0.000,0.170,0.511
4.494,0.507,-0.001,0.169,0.508
4.499,0.501,-0.000,0.169,0.508
4.504,0.495,0.001,0.170,0.510
4.509,0.490,0.001,0.171,0.512
4.514,0.486,0.000,0.171,0.513
4.519,0.482,-0.001,0.170,0.511
4.523,0.477,-0.001,0.170,0.509
4.528,0.472,0.000,0.170,0.509
4.533,0.466,0.001,0.170,0.512
4.538,0.462,0.001,0.171,0.513
4.542,0.458,-0.000,0.171,0.512
4.547,0.454,-0.001,0.170,0.511
4.551,0.449,-0.000,0.170,0.510
4.556,0.444,0.000,0.170,0.511
4.560,0.439,0.001,0.171,0.513
4.565,0.435,0.000,0.171,0.514
4.569,0.431,-0.000,0.171,0.512
4.573,0.427,-0.000,0.170,0.511
4.578,0.422,-0.000,0.170,0.511
4.582,0.418,0.000,0.171,0.512
4.586,0.414,0.000,0.171,0.514
4.590,0.410,-0.000,0.171,0.514
4.594,0.406,-0.000,0.171,0.512
4.598,0.402,-0.000,0.171,0.512
4.602,0.398,0.000,0.171,0.512
4.606,0.393,0.000,0.171,0.514
4.610,0.390,0.000,0.171,0.514
4.614,0.386,-0.000,0.171,0.514
4.618,0.382,-0.000,0.171,0.513
4.622,0.378,-0.000,0.171,0.512
4.626,0.374,0.000,0.171,0.513
4.629,0.370,0.000,0.171,0.514
4.633,0.367,0.000,0.172,0.515
4.637,0.364,-0.000,0.171,0.514
4.640,0.360,-0.000,0.171,0.513
4.644,0.356,0.000,0.171,0.513
4.647,0.352,0.000,0.171,0.514
4.651,0.349,0.000,0.172,0.515
4.654,0.346,-0.000,0.172,0.515
4.658,0.342,-0.000,0.171,0.514
4.661,0.339,-0.000,0.171,0.514
4.665,0.335,0.000,0.171,0.514
4.668,0.332,0.000,0.172,0.515
4.671,0.328,0.000,0.172,0.515
4.675,0.325,-0.000,0.172,0.515
4.678,0.322,-0.000,0.172,0.514
4.681,0.319,0.000,0.172,0.515
4.684,0.315,0.000,0.172,0.515
4.688,0.312,0.000,0.172,0.516
4.691,0.309,-0.000,0.172,0.516
4.694,0.306,-0.000,0.172,0.515
4.697,0.303,-0.000,0.172,0.515
4.700,0.300,0.000,0.172,0.515
4.703,0.297,0.000,0.172,0.516
4.706,0.294,0.000,0.172,0.516
4.709,0.291,-0.000,0.172,0.516
4.712,0.288,-0.000,0.172,0.516
4.715,0.285,0.000,0.172,0.516
4.717,0.282,0.000,0.172,0.516
4.720,0.280,0.000,0.172,0.517
4.723,0.277,0.000,0.172,0.517
4.726,0.274,-0.000,0.172,0.516
4.729,0.272,-0.000,0.172,0.516
4.731,0.269,0.000,0.172,0.516
4.734,0.266,0.000,0.172,0.517
4.737,0.263,0.000,0.172,0.517
4.739,0.261,-0.000,0.172,0.517
4.742,0.258,-0.000,0.172,0.517
4.744,0.256,-0.000,0.172,0.517
4.747,0.253,0.000,0.172,0.517
4.750,0.250,0.000,0.172,0.517
4.752,0.248,0.000,0.172,0.517
4.754,0.246,-0.000,0.172,0.517
4.757,0.243,-0.000,0.172,0.517
4.759,0.241,0.000,0.172,0.517
4.762,0.238,0.000,0.172,0.517
4.764,0.236,0.000,0.173,0.518
4.767,0.233,-0.000,0.173,0.518
4.769,0.231,-0.000,0.172,0.517
4.771,0.229,-0.000,0.172,0.517
4.773,0.226,0.000,0.173,0.518
4.776,0.224,0.000,0.173,0.518
4.778,0.222,0.000,0.173,0.518
4.780,0.220,-0.000,0.173,0.518
4.782,0.218,-0.000,0.173,0.518
4.785,0.215,0.000,0.173,0.518
4.787,0.213,0.000,0.173,0.518
4.789,0.211,0.000,0.173,0.518
4.791,0.209,0.000,0.173,0.518
4.793,0.207,-0.000,0.173,0.518
4.795,0.205,-0.000,0.173,0.518
4.797,0.203,0.000,0.173,0.518
4.799,0.201,0.000,0.173,0.518
4.801,0.199,0.000,0.173,0.518
4.803,0.197,-0.000,0.173,0.518
4.805,0.195,-0.000,0.173,0.518
4.807,0.193,0.000,0.173,0.518
4.809,0.191,0.000,0.173,0.519
4.811,0.189,0.000,0.173,0.519
4.813,0.187,0.000,0.173,0.519
4.815,0.185,-0.000,0.173,0.519
4.817,0.183,-0.000,0.173,0.519
4.818,0.182,0.000,0.173,0.519
4.820,0.180,0.000,0.173,0.519
4.822,0.178,0.000,0.173,0.519
4.824,0.176,-0.000,0.173,0.519
4.826,0.174,-0.000,0.173,0.519
4.827,0.173,0.000,0.173,0.519
4.829,0.171,0.000,0.173,0.519
4.831,0.169,0.000,0.173,0.519
4.832,0.168,0.000,0.173,0.519
4.834,0.166,-0.000,0.173,0.519
4.836,0.164,-0.000,0.173,0.519
4.837,0.163,0.000,0.173,0.519
4.839,0.161,0.000,0.173,0.519
4.841,0.159,0.000,0.173,0.519
4.842,0.158,0.000,0.173,0.519
4.844,0.156,-0.000,0.173,0.519
4.845,0.155,0.000,0.173,0.519
4.847,0.153,0.000,0.173,0.520
4.848,0.152,0.000,0.173,0.520
4.850,0.150,0.000,0.173,0.520
4.851,0.149,-0.000,0.173,0.520
4.853,0.147,-0.000,0.173,0.520
4.854,0.146,0.000,0.173,0.520
4.856,0.144,0.000,0.173,0.520
4.857,0.143,0.000,0.173,0.520
4.859,0.141,0.000,0.173,0.520
4.860,0.140,-0.000,0.173,0.520
4.862,0.138,0.000,0.173,0.520
4.863,0.137,0.000,0.173,0.520
4.864,0.136,0.000,0.173,0.520
4.866,0.134,0.000,0.173,0.520
4.867,0.133,0.000,0.173,0.520
4.868,0.132,0.000,0.173,0.520
4.870,0.130,0.000,0.173,0.520
4.871,0.129,0.000,0.173,0.520
4.872,0.128,0.000,0.173,0.520
4.874,0.126,0.000,0.173,0.520
4.875,0.125,0.000,0.173,0.520
4.876,0.124,0.000,0.173,0.520
4.877,0.123,0.000,0.173,0.520
4.879,0.121,0.000,0.173,0.520
4.880,0.120,0.000,0.173,0.520
4.881,0.119,0.000,0.173,0.520
4.882,0.118,0.000,0.174,0.521
4.883,0.117,0.000,0.174,0.521
4.884,0.116,0.000,0.174,0.521
4.886,0.114,0.000,0.174,0.521
4.887,0.113,0.000,0.174,0.521
4.888,0.112,0.000,0.174,0.521
4.889,0.111,0.000,0.174,0.521
4.890,0.110,0.000,0.174,0.521
4.891,0.109,0.000,0.174,0.521
4.892,0.108,0.000,0.174,0.521
4.893,0.107,0.000,0.174,0.521
4.894,0.106,0.000,0.174,0.521
4.896,0.104,0.000,0.174,0.521
4.897,0.103,0.000,0.174,0.521
4.898,0.102,0.000,0.174,0.521
4.899,0.101,0.000,0.174,0.521
4.900,0.100,0.000,0.174,0.521
4.901,0.099,0.000,0.174,0.521
4.902,0.098,0.000,0.174,0.521
4.903,0.097,0.000,0.174,0.521
4.904,0.096,0.000,0.174,0.521
4.905,0.095,0.000,0.174,0.521
4.905,0.094,0.000,0.174,0.521
4.906,0.094,0.000,0.174,0.521
4.907,0.093,0.000,0.174,0.521
4.908,0.092,0.000,0.174,0.521
4.909,0.091,0.000,0.174,0.521
4.910,0.090,0.000,0.174,0.521
4.911,0.089,0.000,0.174,0.521
4.912,0.088,0.000,0.174,0.521
4.913,0.087,0.000,0.174,0.521
4.914,0.086,0.000,0.174,0.521
4.915,0.085,0.000,0.174,0.521
4.915,0.085,0.000,0.174,0.521
4.916,0.084,0.000,0.174,0.521
4.917,0.083,0.000,0.174,0.521
4.918,0.082,0.000,0.174,0.521
4.919,0.081,0.000,0.174,0.522
4.920,0.080,0.000,0.174,0.522
4.920,0.080,0.000,0.174,0.522
4.921,0.079,0.000,0.174,0.522
4.922,0.078,0.000,0.174,0.522
4.923,0.077,0.000,0.174,0.522
4.923,0.077,0.000,0.174,0.522
4.924,0.076,0.000,0.174,0.522
4.925,0.075,0.000,0.174,0.522
4.926,0.074,0.000,0.174,0.522
4.926,0.074,0.000,0.174,0.522
4.927,0.073,0.000,0.174,0.522
4.928,0.072,0.000,0.174,0.522
4.929,0.071,0.000,0.174,0.522
4.929,0.071,0.000,0.174,0.522
4.930,0.070,0.000,0.174,0.522
4.931,0.069,0.000,0.174,0.522
4.931,0.069,0.000,0.174,0.522
4.932,0.068,0.000,0.174,0.522
4.933,0.067,0.000,0.174,0.522
4.934,0.066,0.000,0.174,0.522
4.934,0.066,0.000,0.174,0.522
4.935,0.065,0.000,0.174,0.522
4.935,0.065,0.000,0.174,0.522
4.936,0.064,0.000,0.174,0.522
4.937,0.063,0.000,0.174,0.522
4.937,0.063,0.000,0.174,0.522
4.938,0.062,0.000,0.174,0.522
4.939,0.061,0.000,0.174,0.522
4.939,0.061,0.000,0.174,0.522
4.940,0.060,0.000,0.174,0.522
4.940,0.060,0.000,0.174,0.522
4.941,0.059,0.000,0.174,0.522
4.942,0.058,0.000,0.174,0.522
4.942,0.058,0.000,0.174,0.522
4.943,0.057,0.000,0.174,0.522
4.943,0.057,0.000,0.174,0.522
4.944,0.056,0.000,0.174,0.522
4.945,0.055,0.000,0.174,0.522
4.945,0.055,0.000,0.174,0.522
4.946,0.054,0.000,0.174,0.522
4.946,0.054,0.000,0.174,0.522
4.947,0.053,0.000,0.174,0.522
4.947,0.053,0.000,0.174,0.522
4.948,0.052,0.000,0.174,0.522
4.948,0.052,0.000,0.174,0.522
4.949,0.051,0.000,0.174,0.522
4.949,0.051,0.000,0.174,0.522
4.950,0.050,0.000,0.174,0.522
4.950,0.050,0.000,0.174,0.522
4.951,0.049,0.000,0.174,0.522
4.951,0.049,0.000,0.174,0.522
4.952,0.048,0.000,0.174,0.522
4.952,0.048,0.000,0.174,0.522
4.953,0.047,0.000,0.174,0.522
4.953,0.047,0.000,0.174,0.522
4.954,0.046,0.000,0.174,0.522
4.954,0.046,0.000,0.174,0.522
4.955,0.045,0.000,0.174,0.522
4.955,0.045,0.000,0.174,0.522
4.956,0.044,0.000,0.174,0.522
4.956,0.044,0.000,0.174,0.523
4.956,0.044,0.000,0.174,0.523
4.957,0.043,0.000,0.174,0.523
4.957,0.043,0.000,0.174,0.523
4.958,0.042,0.000,0.174,0.523
4.958,0.042,0.000,0.174,0.523
4.959,0.041,0.000,0.174,0.523
4.959,0.041,0.000,0.174,0.523
4.959,0.041,0.000,0.174,0.523
4.960,0.040,0.000,0.174,0.523
4.960,0.040,0.000,0.174,0.523
4.961,0.039,0.000,0.174,0.523
4.961,0.039,0.000,0.174,0.523
4.961,0.039,0.000,0.174,0.523
4.962,0.038,0.000,0.174,0.523
4.962,0.038,0.000,0.174,0.523
4.963,0.037,0.000,0.174,0.523
4.963,0.037,0.000,0.174,0.523
4.963,0.037,0.000,0.174,0.523
4.964,0.036,0.000,0.174,0.523
4.964,0.036,0.000,0.174,0.523
4.964,0.036,0.000,0.174,0.523
4.965,0.035,0.000,0.174,0.523
4.965,0.035,0.000,0.174,0.523
4.965,0.035,0.000,0.174,0.523
4.966,0.034,0.000,0.174,0.523
4.966,0.034,0.000,0.174,0.523
4.966,0.034,0.000,0.174,0.523
4.967,0.033,0.000,0.174,0.523
4.967,0.033,0.000,0.174,0.523
4.967,0.033,0.000,0.174,0.523
4.968,0.032,0.000,0.174,0.523
4.968,0.032,0.000,0.174,0.523
4.968,0.032,0.000,0.174,0.523
4.969,0.031,0.000,0.174,0.523
4.969,0.031,0.000,0.174,0.523
4.969,0.031,0.000,0.174,0.523
4.970,0.030,0.000,0.174,0.523
4.970,0.030,0.000,0.174,0.523
4.970,0.030,0.000,0.174,0.523
4.971,0.029,0.000,0.174,0.523
4.971,0.029,0.000,0.174,0.523
4.971,0.029,0.000,0.174,0.523
4.971,0.029,0.000,0.174,0.523
4.972,0.028,0.000,0.174,0.523
4.972,0.028,0.000,0.174,0.523
4.972,0.028,0.000,0.174,0.523
4.973,0.027,0.000,0.174,0.523
4.973,0.027,0.000,0.174,0.523
4.973,0.027,0.000,0.174,0.523
4.973,0.027,0.000,0.174,0.523
4.974,0.026,0.000,0.174,0.523
4.974,0.026,0.000,0.174,0.523
4.974,0.026,0.000,0.174,0.523
4.974,0.026,0.000,0.174,0.523
4.975,0.025,0.000,0.174,0.523
4.975,0.025,0.000,0.174,0.523
4.975,0.025,0.000,0.174,0.523
4.975,0.025,0.000,0.174,0.523
4.976,0.024,0.000,0.174,0.523
4.976,0.024,0.000,0.174,0.523
4.976,0.024,0.000,0.174,0.523
4.976,0.024,0.000,0.174,0.523
4.977,0.023,0.000,0.174,0.523
4.977,0.023,0.000,0.174,0.523
4.977,0.023,0.000,0.174,0.523
4.977,0.023,0.000,0.174,0.523
4.978,0.022,0.000,0.174,0.523
4.978,0.022,0.000,0.174,0.523
4.978,0.022,0.000,0.174,0.523
4.978,0.022,0.000,0.174,0.523
4.978,0.022,0.000,0.174,0.523
4.979,0.021,0.000,0.174,0.523
4.979,0.021,0.000,0.174,0.523
4.979,0.021,0.000,0.174,0.523
4.979,0.021,0.000,0.174,0.523
4.979,0.021,0.000,0.174,0.523
4.980,0.020,0.000,0.174,0.523
4.980,0.020,0.000,0.174,0.523
4.980,0.020,0.000,0.174,0.523
4.980,0.020,0.000,0.174,0.523
4.980,0.020,0.000,0.174,0.523
4.981,0.019,0.000,0.174,0.523
4.981,0.019,0.000,0.174,0.523
4.981,0.019,0.000,0.174,0.523
4.981,0.019,0.000,0.174,0.523
4.981,0.019,0.000,0.174,0.523
4.982,0.018,0.000,0.174,0.523
4.982,0.018,0.000,0.174,0.523
4.982,0.018,0.000,0.174,0.523
4.982,0.018,0.000,0.174,0.523
4.982,0.018,0.000,0.174,0.523
4.983,0.017,0.000,0.174,0.523
4.983,0.017,0.000,0.174,0.523
4.983,0.017,0.000,0.174,0.523
4.983,0.017,0.000,0.174,0.523
4.983,0.017,0.000,0.174,0.523
4.983,0.017,0.000,0.174,0.523
4.984,0.016,0.000,0.174,0.523
4.984,0.016,0.000,0.174,0.523
4.984,0.016,0.000,0.174,0.523
4.984,0.016,0.000,0.174,0.523
4.984,0.016,0.000,0.174,0.523
4.984,0.016,0.000,0.174,0.523
4.985,0.015,0.000,0.174,0.523
4.985,0.015,0.000,0.174,0.523
4.985,0.015,0.000,0.174,0.523
4.985,0.015,0.000,0.174,0.523
4.985,0.015,0.000,0.174,0.523
4.985,0.015,0.000,0.174,0.523
4.985,0.015,0.000,0.174,0.523
4.986,0.014,0.000,0.174,0.523
4.986,0.014,0.000,0.174,0.523
4.986,0.014,0.000,0.174,0.523
4.986,0.014,0.000,0.174,0.523
