z,dz,e,ei,u
8.000,0.276,-3.276,-0.200,-1.255
8.003,0.178,-3.181,-0.200,-1.236
8.005,0.080,-3.085,-0.200,-1.217
8.005,-0.018,-2.988,-0.200,-1.198
8.005,-0.116,-2.889,-0.200,-1.178
8.004,-0.214,-2.790,-0.200,-1.158
8.002,-0.312,-2.690,-0.200,-1.138
7.999,-0.410,-2.589,-0.200,-1.118
7.995,-0.508,-2.487,-0.200,-1.097
7.990,-0.606,-2.383,-0.200,-1.077
7.984,-0.704,-2.279,-0.200,-1.056
7.976,-0.802,-2.174,-0.200,-1.035
7.968,-0.900,-2.068,-0.200,-1.014
7.959,-0.998,-1.961,-0.200,-0.992
7.949,-1.096,-1.853,-0.200,-0.971
7.939,-1.195,-1.744,-0.200,-0.949
7.927,-1.293,-1.634,-0.200,-0.927
7.914,-1.391,-1.523,-0.200,-0.905
7.900,-1.489,-1.411,-0.200,-0.882
7.885,-1.587,-1.298,-0.200,-0.860
7.869,-1.685,-1.184,-0.200,-0.837
7.852,-1.783,-1.069,-0.200,-0.814
7.834,-1.881,-0.953,-0.200,-0.791
7.815,-1.979,-0.836,-0.200,-0.767
7.796,-2.077,-0.719,-0.200,-0.744
7.775,-2.175,-0.600,-0.200,-0.720
7.753,-2.273,-0.480,-0.200,-0.696
7.730,-2.371,-0.359,-0.200,-0.672
7.707,-2.469,-0.237,-0.200,-0.647
7.682,-2.567,-0.115,-0.200,-0.623
7.656,-2.666,0.009,-0.191,-0.571
7.630,-2.764,0.134,-0.057,-0.144
7.602,-2.862,0.260,0.200,0.652
7.573,-2.808,0.234,0.200,0.647
7.545,-2.756,0.211,0.200,0.642
7.518,-2.707,0.189,0.200,0.638
7.491,-2.659,0.169,0.200,0.634
7.464,-2.614,0.150,0.200,0.630
7.438,-2.570,0.132,0.200,0.626
7.412,-2.528,0.115,0.200,0.623
7.387,-2.487,0.100,0.200,0.620
7.362,-2.448,0.085,0.200,0.617
7.338,-2.409,0.072,0.200,0.614
7.314,-2.373,0.059,0.200,0.612
7.290,-2.337,0.047,0.200,0.609
7.266,-2.302,0.036,0.200,0.607
7.243,-2.268,0.025,0.200,0.605
7.221,-2.236,0.015,0.200,0.603
7.198,-2.204,0.005,0.200,0.601
7.176,-2.172,-0.004,0.196,0.587
7.155,-2.147,-0.008,0.189,0.564
7.133,-2.131,-0.002,0.187,0.560
7.112,-2.117,0.005,0.192,0.578
7.091,-2.096,0.005,0.198,0.594
7.070,-2.068,-0.002,0.196,0.587
7.049,-2.043,-0.006,0.190,0.567
7.029,-2.026,-0.003,0.187,0.559
7.008,-2.012,0.004,0.190,0.571
6.988,-1.993,0.005,0.195,0.587
6.968,-1.968,0.000,0.195,0.586
6.949,-1.944,-0.005,0.190,0.570
6.929,-1.926,-0.004,0.187,0.560
6.910,-1.912,0.002,0.189,0.566
6.891,-1.895,0.004,0.193,0.580
6.872,-1.873,0.001,0.194,0.583
6.853,-1.850,-0.003,0.191,0.572
6.835,-1.831,-0.004,0.187,0.560
6.816,-1.817,0.000,0.187,0.562
6.798,-1.802,0.004,0.191,0.574
6.780,-1.782,0.002,0.193,0.579
6.762,-1.760,-0.002,0.191,0.572
6.745,-1.741,-0.003,0.187,0.561
6.727,-1.727,-0.001,0.187,0.560
6.710,-1.713,0.003,0.189,0.568
6.693,-1.695,0.002,0.192,0.575
6.676,-1.675,-0.001,0.191,0.572
6.659,-1.656,-0.003,0.188,0.562
6.643,-1.641,-0.001,0.186,0.558
6.626,-1.628,0.002,0.188,0.564
6.610,-1.612,0.002,0.190,0.571
6.594,-1.594,0.000,0.190,0.570
6.578,-1.576,-0.002,0.188,0.563
6.562,-1.560,-0.002,0.186,0.558
6.547,-1.547,0.001,0.187,0.560
6.531,-1.533,0.002,0.189,0.566
6.516,-1.516,0.001,0.189,0.568
6.501,-1.499,-0.001,0.188,0.563
6.486,-1.484,-0.002,0.186,0.558
6.471,-1.471,-0.000,0.186,0.558
6.456,-1.458,0.001,0.187,0.562
6.441,-1.443,0.001,0.188,0.565
6.427,-1.426,-0.001,0.188,0.563
6.413,-1.411,-0.002,0.186,0.557
6.399,-1.398,-0.001,0.185,0.556
6.385,-1.386,0.001,0.186,0.559
6.371,-1.372,0.001,0.187,0.562
6.357,-1.357,-0.000,0.187,0.562
6.344,-1.342,-0.001,0.186,0.557
6.330,-1.329,-0.001,0.185,0.555
6.317,-1.317,0.000,0.185,0.556
6.304,-1.305,0.001,0.186,0.559
6.291,-1.291,0.000,0.187,0.560
6.278,-1.277,-0.001,0.186,0.557
6.265,-1.264,-0.001,0.185,0.554
6.252,-1.252,-0.000,0.185,0.554
6.240,-1.241,0.001,0.185,0.557
6.227,-1.228,0.001,0.186,0.558
6.215,-1.215,-0.001,0.185,0.556
6.203,-1.202,-0.001,0.185,0.553
6.191,-1.191,-0.000,0.184,0.552
6.179,-1.180,0.001,0.185,0.554
6.167,-1.168,0.001,0.185,0.556
6.156,-1.155,-0.000,0.185,0.555
6.144,-1.143,-0.001,0.184,0.553
6.133,-1.132,-0.001,0.184,0.551
6.121,-1.121,0.000,0.184,0.552
6.110,-1.111,0.001,0.185,0.554
6.099,-1.099,0.000,0.185,0.554
6.088,-1.087,-0.001,0.184,0.552
6.077,-1.076,-0.001,0.183,0.550
6.066,-1.066,-0.000,0.183,0.550
6.056,-1.056,0.000,0.184,0.552
6.045,-1.045,0.000,0.184,0.552
6.035,-1.034,-0.000,0.184,0.551
6.024,-1.024,-0.001,0.183,0.550
6.014,-1.014,-0.000,0.183,0.549
6.004,-1.004,0.000,0.183,0.550
5.994,-0.994,0.000,0.184,0.551
5.984,-0.984,-0.000,0.183,0.550
5.974,-0.974,-0.000,0.183,0.549
5.964,-0.964,-0.000,0.183,0.548
5.955,-0.955,0.000,0.183,0.548
5.945,-0.945,0.000,0.183,0.549
5.936,-0.936,0.000,0.183,0.549
5.926,-0.926,-0.000,0.183,0.548
5.917,-0.917,-0.000,0.182,0.547
5.908,-0.908,-0.000,0.182,0.547
5.899,-0.899,0.000,0.182,0.547
5.890,-0.890,0.000,0.183,0.548
5.881,-0.881,-0.000,0.182,0.547
5.872,-0.872,-0.000,0.182,0.546
5.863,-0.863,-0.000,0.182,0.545
5.855,-0.855,0.000,0.182,0.546
5.846,-0.846,0.000,0.182,0.546
5.838,-0.838,-0.000,0.182,0.546
5.829,-0.829,-0.000,0.182,0.545
5.821,-0.821,-0.000,0.182,0.545
5.813,-0.813,-0.000,0.182,0.545
5.805,-0.805,0.000,0.182,0.545
5.797,-0.797,0.000,0.182,0.545
5.789,-0.789,-0.000,0.182,0.545
5.781,-0.781,-0.000,0.181,0.544
