time,target,z,dz,e,ei,u
0.000,1.000,3.000,-0.000,-2.000,-0.200,-1.000
0.010,1.000,3.000,0.286,-2.286,-0.200,-1.057
0.020,1.000,3.003,0.188,-2.191,-0.200,-1.038
0.030,1.000,3.005,0.090,-2.095,-0.200,-1.019
0.040,1.000,3.006,-0.008,-1.998,-0.200,-1.000
0.050,1.000,3.006,-0.106,-1.899,-0.200,-0.980
0.060,1.000,3.005,-0.204,-1.800,-0.200,-0.960
0.070,1.000,3.002,-0.302,-1.700,-0.200,-0.940
0.080,1.000,2.999,-0.400,-1.599,-0.200,-0.920
0.090,1.000,2.995,-0.498,-1.497,-0.200,-0.899
0.100,1.000,2.990,-0.596,-1.394,-0.200,-0.879
0.110,1.000,2.984,-0.695,-1.290,-0.200,-0.858
0.120,1.000,2.978,-0.793,-1.185,-0.200,-0.837
0.130,1.000,2.970,-0.891,-1.079,-0.200,-0.816
0.140,1.000,2.961,-0.989,-0.972,-0.200,-0.794
0.150,1.000,2.951,-1.087,-0.864,-0.200,-0.773
0.160,1.000,2.940,-1.185,-0.755,-0.200,-0.751
0.170,1.000,2.928,-1.283,-0.645,-0.200,-0.729
0.180,1.000,2.915,-1.381,-0.534,-0.200,-0.707
0.190,1.000,2.901,-1.479,-0.422,-0.200,-0.684
0.200,1.000,2.887,-1.577,-0.310,-0.200,-0.662
0.210,1.000,2.871,-1.675,-0.196,-0.200,-0.639
0.220,1.000,2.854,-1.773,-0.081,-0.200,-0.616
0.230,1.000,2.836,-1.871,0.035,-0.165,-0.488
0.240,1.000,2.818,-1.969,0.152,-0.013,-0.010
0.250,1.000,2.798,-2.067,0.269,0.200,0.654
0.260,1.000,2.777,-2.013,0.235,0.200,0.647
0.270,1.000,2.757,-1.961,0.204,0.200,0.641
0.280,1.000,2.738,-1.912,0.175,0.200,0.635
0.290,1.000,2.718,-1.866,0.148,0.200,0.630
0.300,1.000,2.700,-1.822,0.123,0.200,0.625
0.310,1.000,2.682,-1.781,0.099,0.200,0.620
0.320,1.000,2.664,-1.742,0.078,0.200,0.616
0.330,1.000,2.646,-1.704,0.058,0.200,0.612
0.340,1.000,2.629,-1.669,0.039,0.200,0.608
0.350,1.000,2.613,-1.635,0.022,0.200,0.604
0.360,1.000,2.596,-1.602,0.006,0.200,0.601
0.370,1.000,2.580,-1.571,-0.009,0.191,0.570
0.380,1.000,2.565,-1.553,-0.012,0.179,0.534
0.390,1.000,2.549,-1.549,-0.000,0.179,0.536
0.400,1.000,2.534,-1.544,0.011,0.189,0.570
0.410,1.000,2.518,-1.526,0.008,0.197,0.594
0.420,1.000,2.503,-1.498,-0.005,0.193,0.577
0.430,1.000,2.488,-1.477,-0.011,0.182,0.544
0.440,1.000,2.473,-1.470,-0.004,0.178,0.535
0.450,1.000,2.458,-1.465,0.007,0.185,0.558
0.460,1.000,2.444,-1.452,0.009,0.194,0.584
0.470,1.000,2.429,-1.429,-0.001,0.193,0.580
0.480,1.000,2.415,-1.406,-0.009,0.185,0.553
0.490,1.000,2.401,-1.395,-0.006,0.179,0.536
0.500,1.000,2.387,-1.390,0.004,0.183,0.549
0.510,1.000,2.373,-1.381,0.008,0.190,0.573
0.520,1.000,2.359,-1.361,0.002,0.193,0.579
0.530,1.000,2.346,-1.340,-0.006,0.187,0.560
0.540,1.000,2.332,-1.326,-0.006,0.181,0.541
0.550,1.000,2.319,-1.319,0.001,0.181,0.544
0.560,1.000,2.306,-1.312,0.006,0.187,0.563
0.570,1.000,2.293,-1.297,0.004,0.191,0.575
0.580,1.000,2.280,-1.277,-0.003,0.188,0.564
0.590,1.000,2.267,-1.261,-0.006,0.182,0.546
0.600,1.000,2.254,-1.253,-0.002,0.181,0.541
0.610,1.000,2.242,-1.246,0.004,0.185,0.555
0.620,1.000,2.229,-1.234,0.005,0.189,0.569
0.630,1.000,2.217,-1.216,-0.001,0.189,0.566
0.640,1.000,2.205,-1.200,-0.005,0.184,0.550
0.650,1.000,2.193,-1.190,-0.003,0.181,0.541
0.660,1.000,2.181,-1.183,0.002,0.183,0.549
0.670,1.000,2.169,-1.173,0.004,0.187,0.562
0.680,1.000,2.157,-1.158,0.001,0.188,0.565
0.690,1.000,2.146,-1.142,-0.003,0.185,0.554
0.700,1.000,2.134,-1.131,-0.004,0.181,0.543
0.710,1.000,2.123,-1.123,0.000,0.182,0.545
0.720,1.000,2.112,-1.115,0.003,0.185,0.556
0.730,1.000,2.101,-1.103,0.002,0.187,0.562
0.740,1.000,2.090,-1.088,-0.002,0.186,0.556
0.750,1.000,2.079,-1.075,-0.003,0.182,0.546
0.760,1.000,2.068,-1.067,-0.001,0.181,0.543
0.770,1.000,2.057,-1.060,0.002,0.183,0.550
0.780,1.000,2.047,-1.049,0.003,0.186,0.558
0.790,1.000,2.036,-1.036,-0.000,0.186,0.557
0.800,1.000,2.026,-1.023,-0.003,0.183,0.548
0.810,1.000,2.016,-1.014,-0.002,0.181,0.543
0.820,1.000,2.005,-1.006,0.001,0.182,0.546
0.830,1.000,1.995,-0.998,0.002,0.184,0.554
0.840,1.000,1.985,-0.986,0.001,0.185,0.556
0.850,1.000,1.976,-0.974,-0.002,0.183,0.550
0.860,1.000,1.966,-0.964,-0.002,0.181,0.544
0.870,1.000,1.956,-0.956,-0.000,0.181,0.544
0.880,1.000,1.947,-0.948,0.002,0.183,0.550
0.890,1.000,1.937,-0.939,0.001,0.184,0.554
0.900,1.000,1.928,-0.927,-0.001,0.184,0.551
0.910,1.000,1.919,-0.917,-0.002,0.182,0.545
0.920,1.000,1.909,-0.908,-0.001,0.181,0.542
0.930,1.000,1.900,-0.901,0.001,0.182,0.546
0.940,1.000,1.891,-0.893,0.002,0.183,0.551
0.950,1.000,1.882,-0.882,0.000,0.184,0.551
0.960,1.000,1.873,-0.872,-0.001,0.182,0.546
0.970,1.000,1.865,-0.864,-0.001,0.181,0.542
0.980,1.000,1.856,-0.856,0.000,0.181,0.543
0.990,1.000,1.848,-0.849,0.001,0.182,0.548
1.000,1.000,1.839,-0.840,0.001,0.183,0.549
1.010,1.000,1.831,-0.830,-0.001,0.182,0.547
1.020,1.000,1.822,-0.821,-0.001,0.181,0.543
1.030,1.000,1.814,-0.814,-0.000,0.181,0.542
1.040,1.000,1.806,-0.807,0.001,0.182,0.545
1.050,1.000,1.798,-0.799,0.001,0.182,0.548
1.060,1.000,1.790,-0.790,-0.000,0.182,0.547
1.070,1.000,1.782,-0.781,-0.001,0.181,0.543
1.080,1.000,1.774,-0.774,-0.001,0.180,0.541
1.090,1.000,1.767,-0.767,0.000,0.181,0.543
1.100,1.000,1.759,-0.760,0.001,0.182,0.545
1.110,1.000,1.751,-0.751,0.000,0.182,0.546
1.120,1.000,1.744,-0.743,-0.001,0.181,0.543
1.130,1.000,1.736,-0.735,-0.001,0.180,0.541
1.140,1.000,1.729,-0.729,-0.000,0.180,0.541
1.150,1.000,1.722,-0.722,0.001,0.181,0.543
1.160,1.000,1.714,-0.715,0.000,0.181,0.545
1.170,1.000,1.707,-0.707,-0.000,0.181,0.543
1.180,1.000,1.700,-0.699,-0.001,0.180,0.541
1.190,1.000,1.693,-0.693,-0.000,0.180,0.540
1.200,1.000,1.686,-0.687,0.000,0.180,0.541
1.210,1.000,1.679,-0.680,0.001,0.181,0.543
1.220,1.000,1.673,-0.673,-0.000,0.181,0.543
1.230,1.000,1.666,-0.665,-0.001,0.180,0.541
1.240,1.000,1.659,-0.659,-0.001,0.180,0.539
1.250,1.000,1.653,-0.653,0.000,0.180,0.540
1.260,1.000,1.646,-0.647,0.000,0.180,0.541
1.270,1.000,1.640,-0.640,0.000,0.181,0.542
1.280,1.000,1.633,-0.633,-0.000,0.180,0.541
1.290,1.000,1.627,-0.626,-0.001,0.180,0.539
1.300,1.000,1.621,-0.621,-0.000,0.180,0.539
1.310,1.000,1.614,-0.615,0.000,0.180,0.540
1.320,1.000,1.608,-0.609,0.000,0.180,0.541
1.330,1.000,1.602,-0.602,-0.000,0.180,0.540
1.340,1.000,1.596,-0.596,-0.000,0.180,0.539
1.350,1.000,1.590,-0.590,-0.000,0.179,0.538
1.360,1.000,1.584,-0.584,0.000,0.179,0.539
1.370,1.000,1.579,-0.579,0.000,0.180,0.540
1.380,1.000,1.573,-0.573,0.000,0.180,0.540
1.390,1.000,1.567,-0.567,-0.000,0.180,0.539
1.400,1.000,1.561,-0.561,-0.000,0.179,0.538
1.410,1.000,1.556,-0.556,-0.000,0.179,0.538
1.420,1.000,1.550,-0.550,0.000,0.179,0.538
1.430,1.000,1.545,-0.545,0.000,0.180,0.539
1.440,1.000,1.539,-0.539,-0.000,0.179,0.538
1.450,1.000,1.534,-0.534,-0.000,0.179,0.537
1.460,1.000,1.528,-0.528,-0.000,0.179,0.537
1.470,1.000,1.523,-0.523,0.000,0.179,0.537
1.480,1.000,1.518,-0.518,0.000,0.179,0.538
1.490,1.000,1.513,-0.513,0.000,0.179,0.538
1.500,1.000,1.508,-0.507,-0.000,0.179,0.537
1.510,1.000,1.503,-0.502,-0.000,0.179,0.536
1.520,1.000,1.498,-0.498,-0.000,0.179,0.536
1.530,1.000,1.493,-0.493,0.000,0.179,0.537
1.540,1.000,1.488,-0.488,0.000,0.179,0.537
1.550,1.000,1.483,-0.483,-0.000,0.179,0.537
1.560,1.000,1.478,-0.478,-0.000,0.179,0.536
1.570,1.000,1.473,-0.473,-0.000,0.179,0.536
1.580,1.000,1.468,-0.469,0.000,0.179,0.536
1.590,1.000,1.464,-0.464,0.000,0.179,0.536
1.600,1.000,1.459,-0.459,-0.000,0.179,0.536
1.610,1.000,1.455,-0.454,-0.000,0.179,0.536
1.620,1.000,1.450,-0.450,-0.000,0.178,0.535
