z,dz,e,ei,u
2.000,-0.322,3.322,0.200,1.264
1.997,-0.063,3.066,0.200,1.213
1.996,0.197,2.807,0.200,1.161
1.998,0.456,2.546,0.200,1.109
2.003,0.716,2.281,0.200,1.056
2.010,0.975,2.015,0.200,1.003
2.020,1.235,1.745,0.200,0.949
2.032,1.459,1.509,0.200,0.902
2.047,1.652,1.302,0.200,0.860
2.063,1.818,1.119,0.200,0.824
2.081,1.963,0.956,0.200,0.791
2.101,2.089,0.810,0.200,0.762
2.122,2.198,0.680,0.200,0.736
2.144,2.294,0.562,0.200,0.712
2.167,2.377,0.456,0.200,0.691
2.190,2.450,0.359,0.200,0.672
2.215,2.514,0.272,0.200,0.654
2.240,2.569,0.191,0.200,0.638
2.266,2.616,0.118,0.200,0.624
2.292,2.657,0.051,0.200,0.610
2.319,2.692,-0.011,0.189,0.566
2.345,2.709,-0.054,0.135,0.395
2.373,2.666,-0.039,0.096,0.282
2.399,2.597,0.004,0.101,0.303
2.425,2.531,0.044,0.144,0.441
2.450,2.503,0.047,0.191,0.582
2.475,2.526,-0.001,0.189,0.568
2.501,2.543,-0.044,0.145,0.428
2.526,2.511,-0.037,0.109,0.319
2.551,2.449,-0.000,0.109,0.326
2.576,2.389,0.035,0.144,0.439
2.600,2.360,0.041,0.185,0.562
2.623,2.375,0.002,0.187,0.561
2.647,2.389,-0.036,0.151,0.445
2.671,2.362,-0.033,0.118,0.348
2.695,2.307,-0.001,0.117,0.350
2.718,2.253,0.030,0.147,0.446
2.740,2.225,0.034,0.181,0.550
2.762,2.235,0.002,0.183,0.550
2.785,2.246,-0.030,0.153,0.453
2.807,2.221,-0.028,0.125,0.369
2.829,2.171,-0.001,0.124,0.372
2.851,2.123,0.026,0.150,0.455
2.872,2.099,0.029,0.179,0.542
2.893,2.106,0.001,0.179,0.538
2.914,2.112,-0.026,0.153,0.455
2.935,2.088,-0.023,0.130,0.387
2.956,2.043,0.001,0.131,0.393
2.977,2.000,0.023,0.154,0.467
2.997,1.980,0.023,0.177,0.536
3.017,1.985,-0.001,0.176,0.527
3.036,1.986,-0.023,0.153,0.455
3.056,1.962,-0.018,0.135,0.401
3.076,1.922,0.003,0.137,0.413
3.095,1.884,0.021,0.158,0.478
3.114,1.868,0.018,0.176,0.532
3.133,1.871,-0.004,0.172,0.517
3.151,1.868,-0.020,0.153,0.454
3.170,1.844,-0.014,0.139,0.413
3.188,1.807,0.004,0.143,0.430
3.207,1.775,0.018,0.161,0.488
3.224,1.762,0.013,0.175,0.527
3.242,1.764,-0.006,0.169,0.507
3.260,1.757,-0.017,0.152,0.454
3.277,1.733,-0.010,0.142,0.425
3.294,1.699,0.006,0.148,0.446
3.311,1.673,0.016,0.164,0.496
3.328,1.663,0.009,0.174,0.523
3.345,1.662,-0.007,0.167,0.498
3.361,1.653,-0.014,0.152,0.454
3.378,1.629,-0.006,0.146,0.436
3.394,1.598,0.007,0.153,0.461
3.410,1.576,0.013,0.167,0.502
3.426,1.568,0.006,0.172,0.517
3.442,1.566,-0.008,0.164,0.491
3.457,1.554,-0.012,0.153,0.455
3.473,1.530,-0.003,0.149,0.447
3.488,1.504,0.008,0.157,0.473
3.503,1.486,0.011,0.168,0.507
3.518,1.480,0.002,0.171,0.512
3.533,1.475,-0.008,0.162,0.486
3.548,1.461,-0.009,0.153,0.458
3.562,1.438,-0.001,0.153,0.458
3.577,1.415,0.008,0.161,0.484
3.591,1.401,0.008,0.169,0.509
3.605,1.395,-0.000,0.169,0.507
3.619,1.389,-0.008,0.161,0.482
3.633,1.374,-0.007,0.154,0.462
3.646,1.352,0.001,0.156,0.468
3.660,1.332,0.008,0.164,0.492
3.673,1.321,0.006,0.169,0.509
3.686,1.316,-0.002,0.167,0.501
3.700,1.307,-0.007,0.160,0.479
3.713,1.292,-0.004,0.156,0.467
3.726,1.272,0.003,0.159,0.477
3.738,1.255,0.007,0.166,0.498
3.751,1.246,0.003,0.169,0.508
3.763,1.240,-0.003,0.166,0.497
3.776,1.230,-0.006,0.160,0.479
3.788,1.214,-0.002,0.158,0.473
3.800,1.196,0.004,0.162,0.486
3.812,1.182,0.006,0.167,0.503
3.824,1.175,0.001,0.169,0.506
3.836,1.168,-0.004,0.165,0.494
3.847,1.157,-0.005,0.160,0.480
3.859,1.141,-0.000,0.160,0.479
3.870,1.126,0.004,0.164,0.493
3.882,1.114,0.004,0.168,0.505
3.893,1.107,-0.000,0.168,0.504
3.904,1.100,-0.004,0.164,0.491
3.915,1.088,-0.003,0.161,0.482
3.926,1.073,0.001,0.162,0.486
3.936,1.060,0.004,0.166,0.498
3.947,1.050,0.003,0.168,0.506
3.958,1.044,-0.001,0.167,0.501
3.968,1.035,-0.003,0.164,0.490
3.978,1.023,-0.002,0.162,0.485
3.989,1.010,0.002,0.164,0.492
3.999,0.998,0.003,0.167,0.502
4.009,0.990,0.001,0.168,0.506
4.019,0.983,-0.002,0.167,0.499
4.028,0.974,-0.003,0.164,0.491
4.038,0.962,-0.001,0.163,0.489
4.048,0.950,0.002,0.165,0.497
4.057,0.940,0.003,0.168,0.504
4.067,0.933,0.000,0.168,0.505
4.076,0.926,-0.002,0.166,0.498
4.085,0.917,-0.002,0.164,0.492
4.094,0.905,0.000,0.164,0.494
4.103,0.894,0.002,0.167,0.501
4.112,0.886,0.002,0.168,0.506
4.121,0.879,-0.001,0.168,0.504
4.130,0.872,-0.002,0.166,0.497
4.139,0.862,-0.001,0.165,0.494
4.147,0.852,0.001,0.166,0.498
4.156,0.842,0.002,0.168,0.504
4.164,0.835,0.001,0.169,0.506
